,listing_id,fuel_type,CarCode,extracted_fuel_type,extracted_fuel_type_standardized
0,1030324,,11382,Petrol,petrol
1,1021510,diesel,MISSING,MISSING CAR CODE,
2,1026909,,11386,Petrol,petrol
3,1019371,,11846,Petrol,petrol
4,1031014,,11875,Petrol,petrol
5,1027957,,MISSING,MISSING CAR CODE,
6,1012998,,11349,Petrol,petrol
7,1011676,,MISSING,MISSING CAR CODE,
8,991798,,10526,Petrol,petrol
9,985245,,11120,Petrol,petrol
10,1004029,,11322,Petrol,petrol
11,1027570,,10630,Petrol,petrol
12,983829,,11832,Petrol,petrol
13,1021049,,11737,Petrol,petrol
14,1020443,diesel,10596,Diesel (Euro V),diesel
15,1026971,,10007,Petrol,petrol
16,1028186,,11491,Petrol,petrol
17,1029277,,11731,Petrol,petrol
18,961740,,10112,Petrol,petrol
19,1018033,diesel,10862,Diesel (Euro V),diesel
20,1016319,,10725,Petrol,petrol
21,1023603,,10533,Petrol,petrol
22,1010285,,11262,Petrol,petrol
23,1013431,diesel,11536,Diesel (Euro VI),diesel
24,1028230,,12775,Petrol,petrol
25,993484,,11745,Petrol,petrol
26,1029724,,10482,Petrol,petrol
27,1030359,,MISSING,MISSING CAR CODE,
28,1030764,,10268,Petrol,petrol
29,978360,electric,MISSING,MISSING CAR CODE,
30,1023295,,10128,Petrol,petrol
31,1013096,,10572,Petrol,petrol
32,1016913,,MISSING,MISSING CAR CODE,
33,995374,petrol-electric,11557,Petrol-Electric,petrol-electric
34,1009563,,11491,Petrol,petrol
35,1011233,,MISSING,MISSING CAR CODE,
36,1020510,,10891,Petrol,petrol
37,1022036,,10207,Petrol,petrol
38,1020120,,10876,Petrol,petrol
39,1010302,petrol-electric,MISSING,MISSING CAR CODE,
40,1015605,petrol-electric,11596,Petrol-Electric,petrol-electric
41,1019244,,10128,Petrol,petrol
42,953072,,MISSING,MISSING CAR CODE,
43,1021840,petrol-electric,11557,Petrol-Electric,petrol-electric
44,1017493,,MISSING,MISSING CAR CODE,
45,1028855,,11076,Petrol,petrol
46,1026268,,10489,Petrol,petrol
47,1029034,,10184,Petrol,petrol
48,986421,,11770,Petrol,petrol
49,1016410,,11531,Petrol,petrol
50,1008232,,11031,Petrol,petrol
51,1028659,,11626,Petrol,petrol
52,1015232,,MISSING,MISSING CAR CODE,
53,976780,,11000,Petrol,petrol
54,1006097,,10068,Petrol,petrol
55,965217,,10721,Petrol,petrol
56,1008845,petrol-electric,11420,Petrol-Electric,petrol-electric
57,1023935,,11082,Petrol,petrol
58,1017070,,10778,Petrol,petrol
59,1029304,,11469,Petrol,petrol
60,977627,,11448,Petrol,petrol
61,1023010,,MISSING,MISSING CAR CODE,
62,1021055,,10782,Petrol,petrol
63,953205,,11451,Petrol,petrol
64,1010167,,11031,Petrol,petrol
65,1019334,,10489,Petrol,petrol
66,1028848,,10767,Petrol,petrol
67,1003551,,10742,Petrol,petrol
68,1006128,diesel,MISSING,MISSING CAR CODE,
69,985788,,11643,Petrol,petrol
70,1026578,,10180,Petrol,petrol
71,1006949,,11643,Petrol,petrol
72,965500,petrol-electric,11898,Petrol-Electric,petrol-electric
73,1029145,diesel,MISSING,MISSING CAR CODE,
74,1017034,,MISSING,MISSING CAR CODE,
75,1030771,,10464,Petrol,petrol
76,990220,petrol-electric,MISSING,MISSING CAR CODE,
77,988530,,10742,Petrol,petrol
78,1023832,,MISSING,MISSING CAR CODE,
79,1022283,,11531,Petrol,petrol
80,1005248,diesel,11725,Diesel (Euro VI),diesel
81,1021912,diesel,MISSING,MISSING CAR CODE,
