,listing_id,fuel_type,CarCode
0,1030324,,11382
1,1021510,diesel,MISSING
2,1026909,,11386
3,1019371,,11846
4,1031014,,11875
5,1027957,,MISSING
6,1012998,,11349
7,1011676,,MISSING
8,991798,,10526
9,985245,,11120
10,1004029,,11322
11,1027570,,10630
12,983829,,11832
13,1021049,,11737
14,1020443,diesel,10596
15,1026971,,10007
16,1028186,,11491
17,1029277,,11731
18,961740,,10112
19,1018033,diesel,10862
20,1016319,,10725
21,1023603,,10533
22,1010285,,11262
23,1013431,diesel,11536
24,1028230,,12775
25,993484,,11745
26,1029724,,10482
27,1030359,,MISSING
28,1030764,,10268
29,978360,electric,MISSING
30,1023295,,10128
31,1013096,,10572
32,1016913,,MISSING
33,995374,petrol-electric,11557
34,1009563,,11491
35,1011233,,MISSING
36,1020510,,10891
37,1022036,,10207
38,1020120,,10876
39,1010302,petrol-electric,MISSING
40,1015605,petrol-electric,11596
41,1019244,,10128
42,953072,,MISSING
43,1021840,petrol-electric,11557
44,1017493,,MISSING
45,1028855,,11076
46,1026268,,10489
47,1029034,,10184
48,986421,,11770
49,1016410,,11531
50,1008232,,11031
51,1028659,,11626
52,1015232,,MISSING
53,976780,,11000
54,1006097,,10068
55,965217,,10721
56,1008845,petrol-electric,11420
57,1023935,,11082
58,1017070,,10778
59,1029304,,11469
60,977627,,11448
61,1023010,,MISSING
62,1021055,,10782
63,953205,,11451
64,1010167,,11031
65,1019334,,10489
66,1028848,,10767
67,1003551,,10742
68,1006128,diesel,MISSING
69,985788,,11643
70,1026578,,10180
71,1006949,,11643
72,965500,petrol-electric,11898
73,1029145,diesel,MISSING
74,1017034,,MISSING
75,1030771,,10464
76,990220,petrol-electric,MISSING
77,988530,,10742
78,1023832,,MISSING
79,1022283,,11531
80,1005248,diesel,11725
81,1021912,diesel,MISSING
82,1015807,,10397
83,1028531,,10385
84,1003644,,MISSING
85,1013226,,MISSING
86,1027556,,10385
87,1031152,,10547
88,1024838,,12374
89,1002581,,11491
90,1010001,,11322
91,1021033,,10128
92,1030705,,12323
93,1027068,,10275
94,1018128,,11085
95,1024395,,11120
96,963082,,10128
97,1019796,diesel,11536
98,1025322,,10732
99,1025512,,10076
100,994828,,MISSING
101,990250,,MISSING
102,974187,diesel,10517
103,987006,,10007
104,1030965,diesel,11484
105,1016071,diesel,12004
106,1023418,,10526
107,961153,,10029
108,1030375,,MISSING
109,1028408,,11775
110,1020286,,12232
111,1011764,,11875
112,1022520,,MISSING
113,1013804,petrol,MISSING
114,979550,,11305
115,1024594,petrol-electric,10440
116,1031288,,12444
117,1008199,,11469
118,1025501,,10187
119,1026520,,10547
120,1001024,diesel,10862
121,986495,diesel,MISSING
122,1007296,,10275
123,994566,,10876
124,1031253,,10296
125,1030140,,11846
126,1031059,,12534
127,1001363,,MISSING
128,960043,,10509
129,1015993,,10028
130,1025637,,12138
131,1017838,diesel,10621
132,1025660,,12128
133,1018281,,10296
134,1003980,,MISSING
135,1010657,,10725
136,1027405,,10464
137,991635,,11120
138,1010208,,10551
139,1031173,diesel,11603
140,1003765,,10305
141,1025165,,11530
142,1003778,,11322
143,1028336,,11082
144,1019899,petrol-electric,10645
145,1016391,,11846
146,979020,,10860
147,962222,,MISSING
148,1023699,,10725
149,1028117,,11531
150,1026166,,10777
151,1003900,,11328
152,1019760,,10778
153,1021331,,MISSING
154,1004648,,10787
155,1006300,petrol-electric,11787
156,989886,,MISSING
157,1021188,,11531
158,1030825,,10544
159,1030777,,10506
160,1024356,,10685
161,1019839,,MISSING
162,956929,,11469
163,1020047,,12546
164,1020610,,10026
165,1022467,,10876
166,974922,,12534
167,1021011,,10187
168,1025613,petrol,MISSING
169,1025924,diesel,11572
170,1018691,petrol-electric,11787
171,1009956,,10782
172,1029083,,11306
173,1019803,,12049
174,1014226,,11745
175,1016126,,11105
176,1012081,,11610
177,1008703,,10417
178,1016696,,11543
179,995312,petrol-electric,11503
180,985893,diesel,MISSING
181,983458,,10777
182,995980,,10526
183,1015573,,10464
184,1023319,,12412
185,1021886,diesel,MISSING
186,1027768,,12404
187,1013988,,11294
188,1027853,,12534
189,1028533,,11032
190,1027301,,10860
191,964416,,11015
192,1024716,,10356
193,1004256,,10526
194,1023410,,11435
195,1024862,petrol-electric,11420
196,1018108,,10318
197,1015481,,10414
198,1026668,,10981
199,1017335,,MISSING
200,1019727,diesel,MISSING
201,1016147,,11306
202,1029746,,11386
203,1023483,,10540
204,1009468,,11652
205,1012016,diesel,MISSING
206,1022007,,10381
207,1010594,petrol-electric,MISSING
208,981461,,MISSING
209,1020356,,10417
210,1024696,,11306
211,1026864,,11530
212,1011962,,10128
213,1025121,petrol-electric,11571
214,973023,,11474
215,988445,petrol-electric,11981
216,1017413,,11573
217,1010280,,10685
218,1026846,,10240
219,996963,electric,12388
220,998054,,MISSING
221,988236,diesel,12104
222,1027792,petrol,MISSING
223,1028983,,10526
224,1025296,,11076
225,1029035,,11322
226,1021138,,10187
227,936886,,11881
228,1029429,,12374
229,1018468,,11000
230,1031037,,10526
231,988238,,10931
232,1023597,,12255
233,1019064,,11832
234,1026426,,MISSING
235,992441,,12255
236,1011392,,11448
237,998233,,11055
238,1008086,diesel,11755
239,1014343,,11775
240,1026229,,11722
241,1012174,,10456
242,1029822,,12218
243,1011632,petrol-electric,11752
244,971211,,11260
245,1027993,,11015
246,1017353,diesel,MISSING
247,994047,,12265
248,1024002,,11503
249,1005659,petrol,10862
250,1019437,,10503
251,1021852,,MISSING
252,1028335,petrol-electric,11437
253,948025,,10128
254,987637,,10128
255,960165,,11272
256,855810,diesel,12162
257,996831,,10547
258,984906,,11832
259,985167,,11309
260,1019379,,11531
261,1018717,,10758
262,992066,,11491
263,1010659,,11055
264,1007682,,MISSING
265,1025654,,10800
266,1024342,,12209
267,981074,diesel,11725
268,1001261,diesel,11725
269,946977,,10595
270,1019895,,10417
271,992706,diesel,MISSING
272,1030125,,10275
273,1020091,,MISSING
274,1029567,diesel,10596
275,1020795,,11503
276,978046,,11832
277,975652,,11309
278,1013085,,11446
279,1023778,,10832
280,1018473,,10464
281,1023758,petrol-electric,12003
282,1006099,,10777
283,991082,petrol-electric,MISSING
284,997359,,10503
285,981621,diesel,11901
286,1011121,,MISSING
287,1029817,,11610
288,1021432,,MISSING
289,1030740,,12086
290,980323,diesel,10994
291,976516,,11015
292,995090,,11613
293,1029478,diesel,11786
294,1019965,,11745
295,1000642,diesel,MISSING
296,1000975,,11587
297,1001917,,11652
298,1021602,diesel,MISSING
299,1030122,diesel,12075
300,997405,,MISSING
301,1012322,,MISSING
302,1000445,petrol-electric,MISSING
303,976124,,10356
304,1020355,,11611
305,1004909,,12609
306,1004351,,10860
307,1025401,,11748
308,1003006,,MISSING
309,1025463,,11491
310,1021543,petrol-electric,11787
311,1021702,,10080
312,1026177,diesel,MISSING
313,1016512,,11543
314,1022815,,MISSING
315,1024473,,11262
316,1027412,,12218
317,1016311,,10732
318,1003489,diesel,MISSING
319,995626,petrol-electric,MISSING
320,988556,,11133
321,991947,,12618
322,987019,,10349
323,1016269,,11083
324,932770,diesel,10969
325,1013960,diesel,11536
326,1017651,diesel,11572
327,998594,,11448
328,964238,,MISSING
329,981879,,MISSING
330,939063,,11449
331,998703,,MISSING
332,1006616,,11386
333,1028150,,11745
334,968612,,11832
335,996416,,11451
336,999038,,11882
337,1025071,,10464
338,968972,,MISSING
339,1016759,diesel,12020
340,1027217,,11144
341,983985,,10381
342,975696,diesel,11581
343,1016227,,10685
344,1029238,,10077
345,1007154,,12180
346,1020369,,MISSING
347,1014240,,10732
348,1017037,,11578
349,1030148,diesel,MISSING
