index,manufactured,type_of_vehicle,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,make_model,car_age,diesel,electric,petrol,petrol-electric,missing_category,almost_new_car,coe_car,consignment_car,direct_owner_sale,imported_used_vehicle,low_mileage_car,opc_car,parf_car,premium_ad_car,rare_&_exotic,sgcarmart_warranty_cars,sta_evaluated_car,vintage_cars
0,2013.0,2,0,1560.0,135.0,1997.0,1.0,17700.0,77100.0,1210.0,47514.0,73000.0,45330.0,50462.0,71300,48,8.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1,2014.0,0,1,1740.0,211.0675,2982.0,3.0,11630.0,10660.0,3708.225,3648.0,110112.0,27502.0,1376.0,43800,32,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2016.0,2,0,1430.0,90.0,1595.0,1.0,15070.0,53694.0,740.0,44517.0,80000.0,27886.0,26041.0,95500,49,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,2019.0,2,0,1635.0,115.0,1497.0,1.0,16400.0,40690.0,684.0,80301.0,9800.0,46412.0,56977.0,197900,106,2.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
4,2019.0,3,0,1237.0,92.0,1597.0,1.0,10450.0,26667.0,742.0,36453.0,40000.0,20072.0,20101.0,103200,36,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,2015.0,0,0,1450.0,90.0,1498.0,3.0,11020.0,56001.0,684.0,37311.0,77777.0,22809.0,18933.0,62500,32,6.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,2018.0,2,0,2080.0,375.0,3982.0,1.0,35081.146875,62100.0,3922.0,,31787.0,53386.0,68095.0,367300,153,3.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
8,2011.0,3,0,1195.0,90.0,1598.0,2.0,6280.0,42283.0,816.0,40951.0,142882.37880920974,15263.0,15263.0,66900,22,10.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9,2016.0,2,0,1425.0,100.0,1499.0,2.0,12640.0,56889.0,684.0,50999.0,111199.0,29860.0,28804.0,87800,50,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,2017.0,3,0,1295.0,95.3,1591.0,1.0,8270.0,42801.0,738.0,35227.0,65028.820429095074,12900.0,12900.0,61400,25,4.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,2008.0,3,0,1150.0,88.0,1497.0,2.0,6370.0,25727.0,889.0,19292.0,112000.0,20387.0,20387.0,52600,27,13.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,2019.0,3,0,1345.0,93.8,1591.0,1.0,8390.0,33009.0,738.0,41097.0,27000.0,18272.0,18272.0,86700,25,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,2020.0,1,0,1650.0,430.0,3982.0,1.0,67410.0,49489.0,3922.0,351493.0,238.0,241799.0,407239.0,921800,153,1.0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
14,2015.0,0,1,1980.0,205.386875,2953.0,1.0,8610.0,46801.0,4723.215,19579.0,190363.0,24362.0,1219.0,39600,19,6.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,2008.0,3,0,1770.0,125.0,2362.0,5.0,7640.0,37906.0,2293.0,25703.0,228000.0,28865.0,28865.0,57000,34,13.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16,2016.0,3,0,1321.0,88.0,1496.0,1.0,9120.0,50951.0,682.0,38496.0,68791.0,20569.0,15797.0,61100,29,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
17,2016.0,3,0,2075.0,134.0,2494.0,2.0,19120.0,51010.0,1792.0,63194.0,79000.0,45427.0,55598.0,130700,85,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,2004.0,1,0,1825.0,380.0,5748.0,4.0,141810.0,66834.0,10026.0,19794.0,55584.0,259435.0,285379.0,462000,249,17.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
19,2012.0,0,1,1320.0,79.83449999999998,1461.0,2.0,11480.0,57051.0,980.78,8847.0,142376.764449896,20293.0,1015.0,19600,23,9.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2009.0,1,0,1318.0,147.0,1984.0,3.0,8850.0,37502.0,1433.0,30433.0,117000.0,30382.0,25271.0,79000,32,12.0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
21,2010.0,2,0,1735.0,175.0,2967.0,4.0,9160.0,37502.0,2818.0,30711.0,148758.6253475458,54019.0,54019.0,82500,64,11.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22,2013.0,0,0,1288.0,103.0,1395.0,3.0,12270.0,73100.0,624.0,22855.0,77000.0,25397.0,12556.0,35200,36,8.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
